extraintestinal	9
zoonótica	30
lepra	162
hansen	5
indeterminada	2462
i	2785
tuberculoide	15
tt	2
limítrofe	155
bt	2
bb	31
lepromatosa	17
bl	6
ll	3
micobacterias	117
pulmonares	333
mycobacterium	902
avium	117
intracellulare	29
battey	10
kansasii	23
marinum	19
ulcerans	18
úlcera	3883
buruli	5
diseminada	445
avium-intracellulare	13
complex	44
idmac	1
mac	5
micobacteria	48
atipicas	1
micobacteriosis	15
listeriosis	55
listeria	119
tétanos	224
neonatal	1631
obstétrico	814
otros	2161
difteria	323
faríngea	406
angina	391
membranosa	243
diftérica	123
amigdalar	12
nasofaríngea	105
laríngea	379
laringotraqueítis	63
difterias	1
cardiomiopatía	69
radiculomielitis	5
polineuritis	30
tos	599
ferina	284
bordetella	275
pertussis	170
sin	20802
parapertussis	38
especies	1750
especie	2128
escarlatina	49
complicada	824
meningocócica	173
síndrome	14587
waterhouse-friderichsen	8
adrenalitis	10
adrenal	194
meningócico	1
meningococemia	14
meningococo	83
carditis	54
meningocócicas	7
encefalitis	1108
retrobulbar	84
posmeningocócica	6
estreptocócica	205
estreptococo	143
streptococcus	1723
pneumoniae	1194
neumocócica	127
estreptocócicas	40
staphylococcus	644
aureus	418
sensible	210
meticilina	212
mssa	13
resistente	507
estafilococo	71
coagulasa	32
negativa	428
haemophilus	492
influenzae	369
anaerobios	52
gram	49
negativos	104
e	3278
aeroginosa	1
serratia	81
enterococcus	144
microorganismo	120
septicemia	272
actinomicosis	79
cervicofacial	11
actinomicótica	19
nocardiosis	36
bartonelosis	29
sistémica	700
oroya	5
mucocutánea	74
verruga	200
peruana	15
erisipela	33
gangrena	1023
gaseosa	297
celulitis	772
mionecrosis	6
legionarios	14
pontiac	4
shock	436
tóxico	2046
purpúrica	20
brasileña	16
aegyptius	5
botulismos	1
cbotulinum	1
infantil	1303
herida	8421
alimentario	274
mrsa	17
micoplasma	22
sífilis	1074
congénita	9065
precoz	225
sintomática	194
cualquier	22
sifilis	2
manifestada	1
dos	1392
primeros	42
años	992
nacimiento	1022
ocular	3817
osteocondropatía	77
sifilítica	476
faringitis	230
laringitis	160
rinitis	270
visceral	359
congénitas	740
precoces	6
sintomáticas	7
latente	207
manifestaciones	177
clínicas	40
serología	109
positiva	664
alteraciones	441
