gonfo	clavo
gonio	ángulo
gono	semilla
grafo	escritura
graf	escritura
gravi	gravedad
hal	sal
halo	sal
haplo	simple
hapl	simple
hapto	unir
hebo	pubertad
hebe	pubertad
hecto	cien
helico	espiral
helio	sol
helminto	gusano
hema	sangre
hemat	sangre
hemato	sangre
hemo	sangre
hem	sangre
hemi	mitad
hepat	hígado
hepato	hígado
hepta	siete
hetero	otro
hexa	seis
hialo	cristal
hidr	agua	sudor
hidro	agua	sudor
higio	salud
higro	humedad
hilo	materia
himeno	membrana
hio	cerdo
hiper	sobre	exceso	superioridad
hipno	sueño
hipo	debajo	deficiencia
hipsi	alto
hipso	altura
histero	útero	matriz
hister	útero	matriz
histo	tejido
histio	tejido
holo	todo
homeo	semejante
homo	semejante
icno	huella	traza
ictero	amarillo
icter	amarillo
icti	pez
ictio	pez
ideo	idea
ide	idea
idio	propio
idi	propio
ile	intestino
ileo	intestino
ilio	hueso_ilion
in	contrario	dentro
infra	debajo
inter	en_medio
intra	dentro
intro	dentro
irido	iris
isco	retener
iso	igual
isquio	hueso_isquion
kilo	mil
lacrimo	lágrima
lact	leche
lacto	leche
lagen	botella
lagena	botella
lago	liebre
laparo	abdomen
lapar	abdomen
laringo	laringe
latero	lado
later	lado
leont	león
leonto	león
lepido	escama
lepro	escamoso
lepto	delgado
lept	delgado
leuc	blanco
leuco	blanco
levo	izquierda
lico	lobo
lic	lobo
lien	bazo
lieno	bazo
limno	lago
limn	lago
limo	hambre
linfo	agua
linf	agua
lio	liso
lipo	grasa	ausencia
lip	grasa	ausencia
lis	disolución
liso	disolución
lito	piedra
lit	piedra
lof	cresta
lofo	cresta
logo	ciencia
log	ciencia,
lox	oblicuo
loxo	oblicuo
lumin	luz
lumino	luz
macro	grande
macr	grande
malaco	blando
masto	pezón	mama
mast	pezón	mama
mecan	mecánico
mecano	máquina
megalo	grande
mega	grande
mel	música
melo	música
melano	negro
melan	negro
meli	miel
mening	membrana
meningo	membrana
men	mes
meno	mes
mero	parte
mes	medio
meso	medio
meta	transformación	más_allá
metr	útero	matriz
metro	útero	matriz
micet	hongo
mic	hongo
mico	hongo
miceto	hongo
micro	pequeño
mielo	médula
miel	médula
mili	mil
mi	músculo
mio	músculo
miso	odiar
mis	odiar
mito	hilo
mixo	mucosidad
mix	mucosidad
mogi	dificultad
mono	único
mon	único
morf	forma
morfo	forma
muci	moco
multi	mucho
narco	entumecimiento	letargo	estupor
naso	nariz
necro	muerto
necros	muerto
nefel	nube
nefelo	nube
nefro	riñón
nefr	riñón
nemato	hilo
nemo	memoria
neo	nuevo
neso	isla
nes	isla
neumato	aire
neuma	aire
neumo	pulmón
neuro	nervio	neuronas
neur	nervio	neuronas
nicto	noche
noct	noche
nocti	noche
nict	noche
nomo	ley
noso	enfermedad
not	espalda	dorso
noto	espalda	dorso
ocro	amarillo
oculo	ojo
ocul	ojo
oculos	ojo
odin	dolor
odino	dolor
odont	diente
odonto	diente
ofi	reptil
ofio	reptil
oftalm	ojo
oftalmo	ojo
oleo	aceite
ole	aceite
oligo	poca_cantidad
omo	hombro	crudo
onco	tumor
onfal	ombligo
onfalo	ombligo
onico	uña
onic	uña
onir	sueño
oniro	sueño
onomato	nombre
onto	ser
ont	ser
oo	óvulo	huevo
oofor	ovario
ooforo	ovario
opisto	detrás
opo	jugo	savia
opso	manjar
opt	visible
opto	visible
orexi	apetito
oro	boca
orqui	testículo
orquio	testículo
orro	suero
orto	recto	regular	normal
osfresio	olores
osm	olor
osmo	impulso
osteo	hueso
oto	oído
ot	oído
ovo	huevo
oxi	ácido	agudo
paido	niño
palato	paladar
paleo	antiguo
pali	repetición
palin	repetición
pant	todo
pan	todo
panto	todo
paqui	denso	grueso
para	junto_a	en_comparación_de	fuera_de
pare	junto_a	en_comparación_de	fuera_de
paro	junto_a	en_comparación_de	fuera_de
pari	junto_a	en_comparación_de	fuera_de
parteno	virgen
parten	virgen
pato	enfermedad
pauci	escasa_cantidad
pectini	peine
pectin	peine
pedi	pie
ped	niño
pedo	niño
pelico	pelvis
pelic	pelvis
pelv	pelvis
pelvi	pelvis
peni	pluma
penta	cinco
peps	digestión
pepso	digestión
pepsia	digestión
per	a_través
peri	alrededor
pero	deformación
picn	denso	espeso	frecuente
picno	denso	espeso	frecuente
picro	amargo	picante
picr	amargo	picante
pielo	cavidad	pelvis
piel	cavidad	pelvis
pigo	nalga
pig	nalga
pi	pus
pio	pus
piro	fuego
pir	fuego
pireto	fiebre
piret	fiebre
plagio	oblicuo
plas	formación
plaso	formación
plasma	formación
plasm	formación
plasto	plaqueta	germen
plati	ancho
pleo	más
ples	golpear
plesi	próximo
pleuro	lado
pleur	lado
pluri	mucho
pluto	rico
pneu	aire
pne	aire
pneumo	aire	pulmón
pneumono	aire	pulmón
pneum	aire	pulmón
podo	pie
pod	pie
poli	muchos
pono	fatiga
pos	después_de
post	después_de
poster	después_de
postero	después_de
pre	ante
prim	primero
primo	primero
pro	antes
procto	ano
proct	ano
prosopo	cara
proto	primero
prot	primero
pseudo	falso
psico	mente
psic	mente
psicro	frío
pueri	niño
queilo	labio
queil	labio
querat	córnea	cuernos
quera	córnea	cuernos
querato	córnea	cuernos
quil	jugo
quilo	jugo
quimi	mezcla_de_jugos
quimio	mezcla_de_jugos
quine	movimiento
quinesi	movimiento
quinesio	movimiento
quiro	mano
quist	vejiga	quiste
rabdo	bastón	varilla
radio	rayo	radio
re	de_nuevo	detrás	contrario
reno	riñón
reni	riñón
reo	corriente	flujo
retro	hacia_atrás
rino	nariz
rin	nariz
riz	raíz
rizo	raíz
rodo	color_rosa
sacar	azúcar
sacaro	azúcar
salping	trompa
salpingo	trompa
sapro	putrefacto
sarco	carne
semi	mitad
semio	signo
septe	tabique
septo	tabique
sero	suero
sesqui	uno_y_medio
seudo	falso
sex	seis
sialo	saliva
sial	saliva
sic	alma
sico	alma
sidero	hierro
sifil	sífilis
sifilo	sífilis
sim	junto_con
sin	junto_con
sindesm	unión
sindesmo	unión
sinistro	izquierda
sinistr	izquierda
sinus	seno
siring	fístula	tubo	trompa
siringo	fístula	tubo	trompa
siti	alimento
sitio	alimento
soma	cuerpo
somato	cuerpo
somn	sueño
somno	sueño
somni	sueño
sub	inferior
super	exceso	superioridad
supra	sobre
talo	talón
tanato	muerte
taqui	rápido
tecno	niño	arte	técnica
telo	pezón	fin	lejos
tele	pezón	fin	lejos
tendo	tendón
ter	tres
terato	monstruo
termo	calor
term	calor
tetra	cuatro
tifl	porción_ciega_del_intestino
tiflo	porción_ciega_del_intestino
tifo	tifus	humo	estupor
timo	mente	timo
tio	azufre
tiro	glándula_tiroides
tisio	tisis
tisi	tisis
toco	parto
tomo	segmento
tono	tensión
top	lugar
topo	lugar
torac	tórax
toraco	tórax
torazo	tórax
toxi	veneno
toxo	veneno
trans	a_través_de	a_la_otra_parte_de
traqu	vía_aérea
traqueo	tráquea
traque	tráquea
traquelo	cuello	nuca
traquel	cuello	nuca
tri	tres
trico	cabello
trof	nutrición
trofo	nutrición
trombo	coágulo
tromo	temblor
ulo	encía
ultra	más_allá
uni	uno
uro	orina	sistema_renal
ur	orina	sistema_renal
urano	cielo
vacci	vacunas
ventr	vientre
ventro	vientre
vermi	gusano
xant	color_amarillo
xanto	color_amarillo
xeno	extraño
xero	seco
xilo	madera
yatro	médico
yuxta	junto_a
zoo	animal
zo	animal
